id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
6133,Male,24,1,45.0,1,< 1 Year,No,22809.0,152.0,244,0
63565,Male,21,1,33.0,1,< 1 Year,No,29160.0,152.0,156,0
6529,Male,25,1,28.0,1,< 1 Year,No,33958.0,152.0,158,0
23025,Male,43,1,28.0,0,1-2 Year,Yes,28531.0,154.0,59,0
84255,Female,20,1,47.0,0,< 1 Year,Yes,32802.0,160.0,225,0
12230,Male,41,1,8.0,0,1-2 Year,Yes,2630.0,61.0,252,1
32163,Female,50,1,28.0,1,1-2 Year,No,41223.0,26.0,86,0
7623,Female,33,1,10.0,1,< 1 Year,No,2630.0,160.0,276,0
5038,Male,32,1,28.0,1,< 1 Year,No,152331.0,152.0,252,0
57575,Female,24,1,6.0,0,< 1 Year,No,24686.0,152.0,156,0
76332,Male,71,1,20.0,0,1-2 Year,No,2630.0,133.0,180,0
61356,Male,47,1,12.0,0,1-2 Year,Yes,34097.0,124.0,293,0
30970,Female,25,1,46.0,0,< 1 Year,No,2630.0,152.0,168,0
48022,Male,40,1,28.0,0,1-2 Year,Yes,34863.0,124.0,31,0
17400,Female,76,1,15.0,0,1-2 Year,Yes,27930.0,124.0,117,0
98074,Male,43,1,0.0,0,1-2 Year,Yes,2630.0,122.0,284,0
45421,Female,21,1,43.0,0,< 1 Year,Yes,2630.0,160.0,98,0
79305,Male,22,1,15.0,0,< 1 Year,Yes,25527.0,152.0,100,0
61478,Female,40,1,28.0,0,1-2 Year,Yes,30588.0,154.0,63,0
77312,Male,52,1,28.0,0,1-2 Year,Yes,2630.0,26.0,204,1
78657,Male,40,1,18.0,0,1-2 Year,Yes,30501.0,163.0,49,0
76502,Female,25,1,45.0,1,< 1 Year,No,37386.0,152.0,285,0
18243,Male,21,1,36.0,0,< 1 Year,Yes,41348.0,152.0,121,0
79351,Male,44,1,28.0,0,1-2 Year,Yes,48688.0,124.0,223,1
54627,Male,50,1,28.0,0,1-2 Year,Yes,38314.0,124.0,167,0
62587,Male,58,1,46.0,1,1-2 Year,No,2630.0,124.0,272,0
18204,Male,62,1,22.0,0,1-2 Year,Yes,36486.0,26.0,200,0
26442,Female,27,1,18.0,1,< 1 Year,No,30972.0,152.0,165,0
11337,Female,33,1,21.0,0,< 1 Year,No,27450.0,152.0,68,0
45088,Female,21,1,15.0,1,< 1 Year,No,2630.0,160.0,244,0
21358,Female,30,1,13.0,0,< 1 Year,Yes,18198.0,26.0,283,1
1590,Female,24,1,30.0,1,< 1 Year,No,20641.0,152.0,46,0
56876,Female,25,1,11.0,1,< 1 Year,No,24096.0,152.0,266,0
52763,Male,24,1,25.0,1,< 1 Year,No,23239.0,152.0,277,0
18176,Female,25,1,7.0,1,< 1 Year,No,2630.0,152.0,186,0
75730,Male,29,1,50.0,1,< 1 Year,No,31066.0,152.0,99,0
25740,Male,25,1,14.0,1,< 1 Year,No,36446.0,152.0,89,0
18507,Male,25,1,30.0,1,< 1 Year,No,30254.0,152.0,247,0
35888,Male,57,1,0.0,0,1-2 Year,No,2630.0,11.0,208,0
16516,Male,56,1,37.0,0,1-2 Year,No,28017.0,152.0,47,0
86694,Male,63,1,48.0,1,1-2 Year,No,2630.0,124.0,55,0
80997,Male,60,1,28.0,0,1-2 Year,Yes,39294.0,122.0,221,1
77627,Male,23,1,18.0,1,< 1 Year,No,31053.0,152.0,261,0
30212,Female,25,1,45.0,1,< 1 Year,No,2630.0,152.0,118,0
78147,Female,22,1,20.0,0,< 1 Year,No,2630.0,152.0,115,0
60200,Female,22,1,15.0,1,< 1 Year,No,31500.0,152.0,133,0
15428,Female,23,1,9.0,1,< 1 Year,No,36353.0,152.0,214,0
17910,Male,23,1,25.0,1,< 1 Year,No,28766.0,152.0,13,0
4506,Male,62,1,28.0,0,> 2 Years,Yes,44402.0,26.0,47,0
7509,Male,24,1,41.0,1,< 1 Year,No,27080.0,152.0,219,0
42598,Male,66,1,28.0,1,1-2 Year,No,28663.0,26.0,132,0
88447,Male,60,1,8.0,1,1-2 Year,Yes,58052.0,25.0,19,0
89071,Male,25,1,3.0,1,< 1 Year,No,24451.0,152.0,122,0
15478,Male,31,1,6.0,1,< 1 Year,No,24177.0,152.0,23,0
86189,Male,46,1,48.0,0,1-2 Year,Yes,2630.0,26.0,179,0
53945,Female,29,1,41.0,1,< 1 Year,No,34636.0,152.0,76,0
48737,Female,23,1,29.0,0,< 1 Year,Yes,49324.0,152.0,24,0
56210,Female,46,1,8.0,1,1-2 Year,No,2630.0,25.0,179,0
79925,Female,25,1,21.0,1,< 1 Year,No,28541.0,152.0,263,0
56099,Female,25,1,11.0,1,1-2 Year,Yes,2630.0,157.0,167,0
81412,Male,59,1,38.0,0,1-2 Year,Yes,2630.0,26.0,25,0
90387,Male,44,1,28.0,0,1-2 Year,Yes,49570.0,26.0,77,1
99605,Male,41,1,30.0,1,1-2 Year,No,2630.0,152.0,66,0
38364,Male,23,1,15.0,0,< 1 Year,Yes,44077.0,152.0,37,0
480,Male,30,1,28.0,0,< 1 Year,Yes,51429.0,121.0,119,1
48726,Female,26,1,8.0,0,< 1 Year,Yes,28091.0,152.0,86,0
46742,Male,28,1,17.0,1,< 1 Year,No,35201.0,152.0,90,0
9049,Male,48,1,46.0,0,1-2 Year,Yes,23456.0,26.0,109,0
48695,Female,49,1,28.0,1,1-2 Year,No,2630.0,61.0,107,0
60750,Female,37,1,34.0,0,1-2 Year,Yes,26055.0,124.0,254,1
34944,Male,54,1,28.0,1,1-2 Year,No,30805.0,122.0,183,0
24145,Male,22,1,40.0,1,< 1 Year,No,2630.0,160.0,187,0
39337,Female,24,1,28.0,1,< 1 Year,No,49057.0,152.0,116,0
62747,Male,36,1,28.0,0,1-2 Year,Yes,33201.0,145.0,115,0
94971,Male,38,1,28.0,0,1-2 Year,Yes,53820.0,26.0,104,0
21855,Male,25,1,3.0,1,< 1 Year,No,37811.0,152.0,116,0
13800,Male,40,1,28.0,0,1-2 Year,Yes,24364.0,124.0,67,0
98366,Female,53,1,21.0,0,1-2 Year,Yes,31370.0,124.0,230,0
91808,Male,34,1,28.0,0,1-2 Year,Yes,34467.0,152.0,217,1
50189,Female,52,1,8.0,0,1-2 Year,Yes,37756.0,3.0,132,0
8527,Female,44,1,28.0,0,1-2 Year,Yes,47650.0,26.0,182,0
45995,Male,22,1,15.0,1,< 1 Year,No,2630.0,152.0,229,0
93723,Male,21,1,37.0,0,< 1 Year,Yes,32174.0,160.0,278,0
3859,Female,22,1,36.0,0,< 1 Year,Yes,31133.0,160.0,33,0
14524,Male,49,1,28.0,0,1-2 Year,Yes,62625.0,26.0,240,0
84042,Male,43,1,28.0,0,1-2 Year,Yes,45695.0,26.0,253,1
28236,Male,26,1,28.0,0,< 1 Year,Yes,39355.0,152.0,130,1
44152,Female,43,1,28.0,1,1-2 Year,Yes,30012.0,124.0,253,0
54680,Male,45,1,28.0,0,1-2 Year,Yes,2630.0,124.0,202,0
46090,Female,20,1,47.0,0,< 1 Year,Yes,2630.0,160.0,135,0
58548,Male,21,1,30.0,0,< 1 Year,Yes,24011.0,152.0,14,0
6727,Female,50,1,28.0,0,1-2 Year,Yes,45221.0,26.0,181,1
67812,Male,21,1,15.0,0,< 1 Year,Yes,39797.0,160.0,242,0
14535,Male,27,1,28.0,0,< 1 Year,No,44889.0,124.0,213,0
59421,Female,20,1,2.0,0,< 1 Year,Yes,22413.0,160.0,264,0
20435,Male,28,1,28.0,1,< 1 Year,No,48700.0,152.0,36,0
68634,Female,27,1,9.0,0,< 1 Year,Yes,38595.0,152.0,206,0
86205,Female,47,1,28.0,0,1-2 Year,Yes,43298.0,124.0,124,0
97286,Male,31,1,29.0,0,< 1 Year,No,37705.0,154.0,294,0
92448,Female,37,1,3.0,0,1-2 Year,Yes,33777.0,122.0,83,0
79054,Female,24,1,47.0,1,< 1 Year,No,25483.0,152.0,58,0
19226,Female,21,1,32.0,1,< 1 Year,No,19976.0,160.0,172,0
66597,Female,41,1,8.0,0,1-2 Year,Yes,26242.0,124.0,218,0
73148,Female,25,1,3.0,1,< 1 Year,No,45112.0,152.0,80,0
39073,Male,42,1,15.0,1,1-2 Year,No,2630.0,160.0,92,0
67007,Female,21,1,3.0,1,< 1 Year,No,32592.0,160.0,179,0
36440,Male,58,1,30.0,1,1-2 Year,Yes,34572.0,26.0,246,0
94238,Male,23,1,8.0,0,< 1 Year,Yes,39547.0,152.0,160,0
78757,Male,72,1,28.0,1,1-2 Year,No,43166.0,26.0,155,0
10696,Female,25,1,50.0,1,< 1 Year,No,21058.0,152.0,167,0
39291,Male,54,1,2.0,0,1-2 Year,Yes,29163.0,124.0,92,0
84658,Male,21,1,13.0,0,< 1 Year,Yes,2630.0,160.0,71,0
44394,Female,39,1,28.0,0,1-2 Year,Yes,40800.0,124.0,56,1
20118,Male,58,1,8.0,0,1-2 Year,Yes,2630.0,26.0,115,0
35090,Female,22,1,30.0,1,< 1 Year,No,27302.0,152.0,207,0
17110,Male,37,1,43.0,0,1-2 Year,Yes,2630.0,124.0,233,1
15618,Male,51,1,47.0,1,1-2 Year,No,32598.0,152.0,150,0
52687,Male,25,1,28.0,1,< 1 Year,No,29356.0,152.0,48,0
9943,Female,23,1,11.0,1,< 1 Year,No,29239.0,152.0,64,0
88171,Female,26,1,10.0,1,< 1 Year,No,34076.0,152.0,197,0
82374,Male,21,1,46.0,1,< 1 Year,No,32029.0,160.0,30,0
17789,Female,27,1,45.0,1,< 1 Year,No,32246.0,152.0,209,0
11214,Female,69,1,28.0,1,1-2 Year,No,55861.0,55.0,184,0
4705,Male,25,1,28.0,0,1-2 Year,Yes,41976.0,156.0,19,0
42429,Male,32,1,50.0,1,1-2 Year,No,30572.0,8.0,157,0
51066,Male,21,1,11.0,1,< 1 Year,No,27685.0,152.0,122,0
14209,Male,22,1,40.0,0,< 1 Year,Yes,26189.0,152.0,64,0
82894,Female,30,1,25.0,1,< 1 Year,No,2630.0,152.0,231,0
60402,Female,39,1,28.0,1,1-2 Year,Yes,38208.0,26.0,126,0
21655,Male,35,1,30.0,0,1-2 Year,Yes,23271.0,124.0,297,1
51611,Male,52,1,28.0,0,> 2 Years,Yes,27719.0,124.0,118,0
81817,Female,22,1,30.0,1,< 1 Year,No,21433.0,152.0,243,0
28188,Male,31,1,35.0,1,< 1 Year,No,2630.0,152.0,186,0
29236,Male,34,1,16.0,1,< 1 Year,No,42496.0,152.0,77,0
94055,Female,25,1,35.0,1,< 1 Year,No,27667.0,152.0,238,0
41947,Female,22,1,50.0,1,< 1 Year,No,42422.0,152.0,151,0
82715,Female,23,1,8.0,1,< 1 Year,No,45748.0,152.0,293,0
54001,Male,46,1,28.0,0,1-2 Year,Yes,26636.0,124.0,179,0
92563,Female,36,1,50.0,1,1-2 Year,No,23948.0,152.0,112,0
86987,Female,24,1,9.0,1,< 1 Year,No,2630.0,160.0,191,0
36802,Female,32,1,19.0,0,< 1 Year,Yes,35849.0,124.0,214,0
93465,Female,33,1,46.0,1,< 1 Year,No,28779.0,152.0,214,0
63367,Male,48,1,8.0,0,> 2 Years,Yes,2630.0,124.0,138,0
82933,Female,72,1,28.0,0,1-2 Year,Yes,2630.0,26.0,111,0
2960,Male,62,1,8.0,0,1-2 Year,Yes,2630.0,124.0,237,1
26313,Male,23,1,7.0,1,< 1 Year,No,24739.0,152.0,74,0
79713,Female,24,1,11.0,1,< 1 Year,No,31580.0,152.0,79,0
25171,Male,40,1,28.0,0,1-2 Year,Yes,42749.0,124.0,245,0
22941,Female,32,1,30.0,0,1-2 Year,Yes,2630.0,156.0,192,0
29919,Female,21,1,3.0,0,< 1 Year,Yes,25685.0,152.0,33,0
89853,Female,39,1,46.0,0,1-2 Year,Yes,2630.0,26.0,293,1
66616,Female,43,1,28.0,0,1-2 Year,Yes,39313.0,26.0,78,1
8198,Female,20,1,3.0,0,< 1 Year,Yes,16485.0,160.0,244,0
61176,Male,25,1,11.0,0,< 1 Year,Yes,2630.0,152.0,213,0
13678,Female,23,1,8.0,1,< 1 Year,No,43587.0,152.0,224,0
19090,Female,26,1,47.0,0,< 1 Year,Yes,24306.0,152.0,264,0
73804,Male,43,1,28.0,0,1-2 Year,Yes,38149.0,26.0,200,0
19253,Male,79,1,28.0,1,1-2 Year,No,42709.0,26.0,136,0
26735,Male,45,1,28.0,1,1-2 Year,No,43122.0,26.0,82,0
78262,Male,28,1,28.0,0,< 1 Year,Yes,61571.0,26.0,55,1
40900,Male,79,1,3.0,0,1-2 Year,Yes,30292.0,26.0,139,0
12911,Male,25,1,33.0,0,< 1 Year,Yes,24305.0,124.0,126,0
73733,Female,30,1,28.0,1,< 1 Year,No,50578.0,152.0,201,0
48082,Male,51,1,8.0,0,1-2 Year,Yes,2630.0,157.0,281,0
31612,Male,39,1,35.0,0,1-2 Year,Yes,22389.0,124.0,253,1
48805,Female,50,1,28.0,0,1-2 Year,Yes,21330.0,124.0,188,1
28689,Male,66,1,28.0,0,1-2 Year,Yes,53019.0,122.0,248,0
18628,Female,66,1,31.0,1,1-2 Year,No,2630.0,156.0,171,0
13868,Female,67,1,28.0,0,1-2 Year,Yes,79021.0,122.0,298,0
28060,Male,43,1,28.0,0,1-2 Year,Yes,41780.0,13.0,296,1
73401,Female,22,1,15.0,0,< 1 Year,Yes,45852.0,152.0,235,0
89525,Male,48,1,20.0,1,1-2 Year,No,2630.0,124.0,196,0
34124,Female,26,1,50.0,1,< 1 Year,No,22986.0,152.0,157,0
51203,Female,46,1,28.0,0,> 2 Years,Yes,44583.0,26.0,246,0
40984,Male,32,1,45.0,0,< 1 Year,Yes,18998.0,152.0,41,1
62147,Male,28,1,46.0,1,< 1 Year,No,27200.0,152.0,24,0
48275,Male,43,1,28.0,1,1-2 Year,No,34558.0,124.0,284,0
63562,Female,36,1,6.0,0,1-2 Year,Yes,2630.0,156.0,103,0
98438,Male,22,1,6.0,1,< 1 Year,No,2630.0,152.0,257,0
98231,Female,55,1,28.0,0,1-2 Year,Yes,33077.0,4.0,279,0
59034,Male,21,1,35.0,0,< 1 Year,Yes,37005.0,160.0,250,0
75004,Male,76,1,9.0,1,1-2 Year,No,22307.0,146.0,32,0
60641,Male,48,1,46.0,0,1-2 Year,Yes,2630.0,157.0,201,0
34936,Male,23,1,41.0,0,< 1 Year,Yes,2630.0,152.0,152,1
46893,Female,58,1,28.0,0,> 2 Years,Yes,34320.0,147.0,232,0
58311,Male,41,1,21.0,1,1-2 Year,No,25087.0,152.0,22,0
77482,Male,68,1,41.0,1,1-2 Year,No,62284.0,124.0,209,0
25418,Male,26,1,39.0,1,< 1 Year,No,52465.0,152.0,115,0
52561,Male,27,1,8.0,0,< 1 Year,Yes,41711.0,152.0,194,0
18210,Male,42,1,50.0,1,1-2 Year,No,33264.0,124.0,122,0
74753,Male,74,1,28.0,1,1-2 Year,No,39104.0,26.0,30,0
90765,Male,55,1,8.0,1,1-2 Year,No,2630.0,7.0,36,0
62157,Female,24,1,6.0,1,< 1 Year,No,32834.0,152.0,69,0
41185,Male,72,1,24.0,1,1-2 Year,Yes,40033.0,124.0,277,0
62895,Male,25,1,39.0,1,< 1 Year,Yes,31039.0,152.0,187,0
49285,Female,47,1,28.0,0,1-2 Year,Yes,37796.0,26.0,270,0
89111,Male,74,1,28.0,0,1-2 Year,Yes,56109.0,122.0,284,0
12185,Female,30,1,28.0,0,1-2 Year,Yes,2630.0,156.0,110,1
80160,Female,73,1,28.0,0,1-2 Year,Yes,44389.0,122.0,63,0
75134,Male,48,1,28.0,0,> 2 Years,Yes,57875.0,26.0,262,1
8234,Female,29,1,30.0,1,< 1 Year,No,23803.0,152.0,36,0
52838,Female,41,1,28.0,1,1-2 Year,No,33471.0,35.0,295,0
91025,Female,52,1,28.0,0,1-2 Year,Yes,34080.0,122.0,131,0
2789,Female,51,1,28.0,0,1-2 Year,Yes,45298.0,26.0,203,0
13229,Female,52,1,15.0,1,1-2 Year,No,40473.0,124.0,100,0
50700,Female,24,1,11.0,1,< 1 Year,No,25133.0,152.0,280,0
6463,Male,41,1,43.0,1,1-2 Year,No,23770.0,26.0,264,0
60298,Male,21,1,30.0,0,< 1 Year,Yes,42692.0,152.0,11,0
7191,Male,37,1,3.0,0,1-2 Year,No,2630.0,156.0,171,0
17340,Female,29,1,28.0,1,< 1 Year,No,57063.0,152.0,248,0
59328,Female,50,1,29.0,1,1-2 Year,No,20946.0,152.0,71,0
55103,Female,42,1,29.0,0,1-2 Year,No,22636.0,124.0,104,0
9202,Male,50,1,28.0,0,1-2 Year,Yes,25200.0,26.0,53,0
77970,Male,49,1,28.0,0,> 2 Years,Yes,70782.0,124.0,135,0
27290,Male,45,1,28.0,0,1-2 Year,Yes,37763.0,13.0,200,0
65244,Male,27,1,30.0,1,< 1 Year,No,44845.0,152.0,275,0
97567,Female,49,1,46.0,0,1-2 Year,Yes,2630.0,26.0,207,0
96196,Male,34,1,28.0,0,1-2 Year,Yes,48626.0,124.0,120,0
41677,Female,25,1,9.0,1,< 1 Year,No,32781.0,152.0,271,0
88354,Male,61,1,28.0,0,1-2 Year,Yes,57104.0,26.0,169,0
41902,Female,28,1,29.0,0,< 1 Year,No,34493.0,152.0,42,0
51994,Male,48,1,37.0,0,1-2 Year,Yes,2630.0,156.0,229,0
8196,Female,24,1,46.0,1,< 1 Year,No,29838.0,152.0,263,0
53401,Female,49,1,8.0,1,1-2 Year,No,30971.0,124.0,70,0
35,Female,32,1,30.0,1,< 1 Year,No,27638.0,152.0,169,0
71646,Female,40,1,50.0,1,1-2 Year,No,22356.0,124.0,11,0
9445,Female,33,1,30.0,1,< 1 Year,No,40715.0,152.0,160,0
29882,Female,63,1,52.0,0,1-2 Year,No,2630.0,26.0,184,0
25511,Male,71,1,28.0,1,1-2 Year,No,55079.0,24.0,180,0
95451,Male,29,1,30.0,1,< 1 Year,No,23881.0,152.0,44,0
99424,Female,24,1,24.0,0,< 1 Year,Yes,28276.0,152.0,228,0
66477,Male,42,1,8.0,1,1-2 Year,No,31448.0,152.0,63,0
4704,Male,74,1,28.0,0,> 2 Years,Yes,51564.0,13.0,66,0
81044,Male,60,1,8.0,1,1-2 Year,No,2630.0,26.0,233,0
55363,Female,65,1,16.0,0,1-2 Year,Yes,27480.0,30.0,176,0
43227,Female,69,1,28.0,0,1-2 Year,Yes,52851.0,122.0,148,0
99719,Male,26,1,3.0,1,< 1 Year,No,25001.0,152.0,97,0
84749,Male,24,1,52.0,1,< 1 Year,No,26170.0,152.0,89,0
78030,Male,39,1,14.0,0,1-2 Year,Yes,2630.0,157.0,168,0
87678,Male,27,1,27.0,0,< 1 Year,Yes,28133.0,152.0,232,0
65616,Female,31,1,2.0,0,1-2 Year,Yes,31410.0,154.0,154,0
71814,Female,40,1,31.0,0,1-2 Year,Yes,2630.0,124.0,216,0
12358,Female,37,1,28.0,0,1-2 Year,Yes,38419.0,26.0,261,1
61503,Male,24,1,13.0,0,< 1 Year,Yes,33036.0,160.0,10,0
21083,Male,27,1,4.0,1,< 1 Year,No,35289.0,151.0,175,0
18048,Female,41,1,39.0,0,1-2 Year,Yes,28765.0,61.0,37,0
6882,Female,25,1,15.0,0,< 1 Year,Yes,33336.0,152.0,119,0
38378,Female,26,1,28.0,1,< 1 Year,No,26302.0,152.0,104,0
34378,Male,23,1,9.0,0,< 1 Year,Yes,21235.0,152.0,161,0
88366,Male,48,1,28.0,0,1-2 Year,Yes,30410.0,122.0,184,0
82838,Female,41,1,46.0,0,1-2 Year,Yes,27191.0,154.0,34,1
71561,Female,53,1,28.0,1,1-2 Year,No,41974.0,124.0,128,0
3291,Female,74,1,50.0,0,1-2 Year,Yes,38125.0,30.0,120,0
54815,Male,22,1,17.0,1,< 1 Year,No,30248.0,152.0,71,0
15817,Male,28,1,43.0,1,< 1 Year,No,27295.0,152.0,153,0
32429,Male,24,1,28.0,1,< 1 Year,Yes,49775.0,152.0,294,0
70326,Female,34,1,28.0,1,1-2 Year,No,33683.0,124.0,127,0
15416,Male,46,1,28.0,0,1-2 Year,Yes,28934.0,26.0,134,1
1979,Female,57,1,28.0,0,> 2 Years,Yes,27957.0,124.0,55,0
70950,Male,53,1,11.0,1,1-2 Year,Yes,2630.0,156.0,292,0
64616,Female,36,1,50.0,1,1-2 Year,Yes,53239.0,124.0,95,0
22107,Female,50,1,29.0,0,1-2 Year,Yes,22756.0,124.0,168,0
64364,Male,67,1,3.0,1,1-2 Year,Yes,39836.0,26.0,243,0
98187,Female,31,1,48.0,0,< 1 Year,Yes,2630.0,124.0,181,1
32554,Male,31,1,41.0,1,< 1 Year,No,32710.0,152.0,200,0
46257,Male,25,1,28.0,1,< 1 Year,No,47387.0,152.0,33,0
9267,Female,59,1,28.0,0,1-2 Year,Yes,36858.0,26.0,235,0
84184,Female,63,1,28.0,0,1-2 Year,No,52372.0,122.0,130,0
43458,Male,45,1,8.0,0,1-2 Year,Yes,45747.0,124.0,120,0
70467,Female,43,1,28.0,0,1-2 Year,Yes,61078.0,156.0,254,0
66759,Male,34,1,8.0,0,1-2 Year,Yes,23231.0,124.0,192,1
81051,Female,20,1,36.0,0,< 1 Year,No,31450.0,160.0,143,0
85724,Male,24,1,46.0,1,< 1 Year,No,2630.0,152.0,16,0
17431,Female,72,1,28.0,1,1-2 Year,No,39545.0,26.0,63,0
2179,Female,25,1,8.0,1,< 1 Year,No,28485.0,160.0,247,0
38782,Male,43,1,28.0,0,> 2 Years,Yes,36394.0,124.0,295,1
26800,Female,24,1,50.0,1,< 1 Year,No,27512.0,152.0,14,0
63040,Female,74,1,8.0,1,1-2 Year,No,2630.0,124.0,159,0
14104,Female,37,1,41.0,1,1-2 Year,No,25153.0,124.0,134,0
92171,Female,22,1,46.0,0,< 1 Year,Yes,33548.0,152.0,44,0
96077,Female,45,1,30.0,0,1-2 Year,Yes,2630.0,156.0,82,1
90550,Female,24,1,24.0,0,< 1 Year,Yes,29466.0,152.0,206,1
57531,Female,43,1,38.0,0,1-2 Year,No,31428.0,124.0,252,0
83466,Male,64,1,46.0,1,1-2 Year,No,2630.0,124.0,263,0
98196,Male,27,1,46.0,1,< 1 Year,No,2630.0,160.0,178,0
34516,Female,47,1,28.0,0,1-2 Year,Yes,37589.0,26.0,283,0
78018,Female,20,1,15.0,1,< 1 Year,No,46636.0,160.0,248,0
30990,Male,53,1,11.0,0,1-2 Year,Yes,30205.0,124.0,274,1
51692,Female,24,1,15.0,1,< 1 Year,No,27204.0,151.0,18,0
43873,Male,22,1,8.0,1,< 1 Year,No,28451.0,152.0,77,0
42620,Female,66,1,28.0,0,1-2 Year,Yes,2630.0,156.0,176,0
50475,Female,75,1,27.0,0,1-2 Year,Yes,2630.0,26.0,85,0
30254,Female,21,1,12.0,1,< 1 Year,No,28309.0,160.0,129,0
55659,Male,39,1,18.0,0,1-2 Year,Yes,28622.0,26.0,103,0
95373,Male,78,1,47.0,0,1-2 Year,Yes,34209.0,124.0,206,0
72954,Female,43,1,7.0,0,1-2 Year,Yes,35095.0,124.0,218,0
47222,Female,22,1,8.0,1,< 1 Year,No,31236.0,26.0,32,0
66234,Male,71,1,28.0,0,> 2 Years,Yes,47377.0,124.0,163,0
48619,Male,28,1,45.0,0,< 1 Year,Yes,2630.0,152.0,74,0
79349,Male,24,1,11.0,1,< 1 Year,No,25910.0,152.0,180,0
54108,Female,76,1,50.0,1,1-2 Year,No,44964.0,8.0,145,0
32398,Male,23,1,46.0,1,< 1 Year,No,28869.0,152.0,226,0
98709,Male,62,1,28.0,0,1-2 Year,Yes,58168.0,122.0,18,0
59459,Female,35,1,28.0,1,1-2 Year,No,31069.0,152.0,130,0
10549,Male,33,1,35.0,0,< 1 Year,Yes,2630.0,156.0,221,0
14691,Male,24,1,29.0,1,< 1 Year,No,2630.0,122.0,150,0
1817,Male,57,1,28.0,1,1-2 Year,Yes,42224.0,124.0,270,0
37675,Male,43,1,28.0,0,1-2 Year,Yes,64206.0,52.0,251,0
92084,Male,75,1,50.0,1,1-2 Year,No,36940.0,69.0,298,0
42820,Female,56,1,28.0,0,1-2 Year,Yes,49571.0,26.0,56,0
65687,Male,51,1,28.0,0,1-2 Year,Yes,45332.0,124.0,226,0
52429,Male,28,1,52.0,1,< 1 Year,No,54294.0,152.0,275,0
46315,Male,55,1,8.0,1,1-2 Year,No,65677.0,124.0,191,0
92057,Male,27,1,41.0,1,< 1 Year,No,34186.0,152.0,104,0
